voltage,temperature,capacity,cycles,resistance,soh
4.15,25,4.0,50,18,99
4.10,26,3.95,100,20,98
4.05,27,3.90,150,22,97
4.00,28,3.85,200,24,96
3.95,29,3.80,250,27,94
3.90,30,3.70,350,30,92
3.85,31,3.60,450,35,89
3.82,31,3.40,650,42,85
3.78,33,3.30,700,48,82
3.75,35,3.15,800,55,78
3.72,36,3.00,900,65,74
3.68,38,2.90,1000,75,70
3.65,40,2.75,1100,85,66
3.60,42,2.60,1200,95,61
3.55,44,2.40,1300,110,55
3.50,46,2.20,1400,125,49
3.45,48,2.00,1500,140,43
3.40,50,1.80,1600,160,36
3.35,52,1.60,1700,180,30
3.30,55,1.40,1800,200,23
